,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
317,Anthony Martial,fr FRA,FW,Manchester Utd,27-131,1995,12,6,538,6.0,4,2,6,3,1,1,0,0,3.4,2.6,1.1,3.7,8,18,37,0.67,0.33,1.00,0.50,0.84,0.57,0.18,0.75,0.44,0.62,Matches,8b788c01
318,Martinelli,br BRA,FW,Arsenal,21-301,2001,30,29,2432,27.0,14,4,18,14,0,0,3,0,8.5,8.5,6.8,15.3,113,86,311,0.52,0.15,0.67,0.52,0.67,0.31,0.25,0.57,0.31,0.57,Matches,48a5a5d6
319,Emiliano Martínez,ar ARG,GK,Aston Villa,30-225,1992,28,28,2464,27.4,0,0,0,0,0,0,5,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,7956236f
320,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-087,1998,27,24,2114,23.5,1,0,1,1,0,0,6,0,0.5,0.5,0.3,0.8,12,83,2,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,bac46a10
321,Pape Matar Sarr,sn SEN,MF,Tottenham,20-213,2002,8,1,147,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,11,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,feb5d972
322,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-291,1997,24,6,712,7.9,2,0,2,2,0,0,3,0,3.2,3.2,0.6,3.9,7,6,38,0.25,0.00,0.25,0.25,0.25,0.41,0.08,0.49,0.41,0.49,Matches,50e6dc35
323,Joël Matip,cm CMR,DF,Liverpool,31-250,1991,12,10,912,10.1,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.3,26,47,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches,b217ef29
324,Neal Maupay,fr FRA,FW,Everton,26-244,1996,21,10,968,10.8,1,0,1,1,0,0,3,0,3.8,3.8,0.5,4.4,7,9,52,0.09,0.00,0.09,0.09,0.09,0.36,0.05,0.41,0.36,0.41,Matches,4bcf39f6
325,Kevin Mbabu,ch SUI,DFFW,Fulham,27-361,1995,6,1,144,1.6,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,4,8,11,0.00,0.62,0.62,0.00,0.62,0.00,0.25,0.25,0.00,0.25,Matches,493924a7
326,Bryan Mbeumo,cm CMR,FW,Brentford,23-251,1999,30,29,2249,25.0,5,5,10,4,1,1,4,0,6.9,6.2,5.0,11.1,46,67,182,0.20,0.20,0.40,0.16,0.36,0.28,0.20,0.48,0.25,0.44,Matches,6afaebf2
327,James McArthur,sct SCO,MF,Crystal Palace,35-190,1987,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cee31595
328,John McGinn,sct SCO,MF,Aston Villa,28-179,1994,26,22,1973,21.9,1,2,3,1,0,0,5,0,1.9,1.9,2.1,4.0,19,98,49,0.05,0.09,0.14,0.05,0.14,0.08,0.10,0.18,0.08,0.18,Matches,90f91999
329,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-154,1996,18,17,1462,16.2,0,0,0,0,0,0,4,0,0.1,0.1,0.8,0.9,5,33,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,4e5a4cbc
330,Weston McKennie,us USA,MF,Leeds United,24-230,1998,11,8,786,8.7,0,0,0,0,0,0,5,0,0.4,0.4,0.3,0.7,9,54,15,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,01c3aff5
331,Dwight McNeil,eng ENG,FWMF,Everton,23-144,1999,28,20,1778,19.8,3,2,5,3,0,0,5,0,1.3,1.3,3.8,5.2,53,49,97,0.15,0.10,0.25,0.15,0.25,0.07,0.19,0.26,0.07,0.26,Matches,fc15fb84
332,Scott McTominay,sct SCO,MF,Manchester Utd,26-128,1996,21,10,1126,12.5,1,0,1,1,0,0,7,0,1.3,1.3,0.5,1.8,19,30,19,0.08,0.00,0.08,0.08,0.08,0.10,0.04,0.14,0.10,0.14,Matches,d93c2511
333,Ben Mee,eng ENG,DF,Brentford,33-206,1989,29,29,2549,28.3,3,0,3,3,0,0,2,0,1.9,1.9,0.3,2.2,5,56,13,0.11,0.00,0.11,0.11,0.11,0.07,0.01,0.08,0.07,0.08,Matches,8df7a2fb
334,Edouard Mendy,sn SEN,GK,Chelsea,31-045,1992,9,8,765,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,33887998
335,Nampalys Mendy,sn SEN,MF,Leicester City,30-296,1992,15,7,700,7.8,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.2,2,28,4,0.13,0.00,0.13,0.13,0.13,0.02,0.00,0.02,0.02,0.02,Matches,1598599e
336,Chris Mepham,wls WAL,DF,Bournemouth,25-161,1997,22,20,1839,20.4,0,0,0,0,0,0,7,0,0.6,0.6,0.2,0.8,1,33,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,fed96827
337,Illan Meslier,fr FRA,GK,Leeds United,23-044,2000,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6b625ac2
338,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-004,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,10ec4169
339,Luka Milivojević,rs SRB,MF,Crystal Palace,32-008,1991,14,4,428,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,16,2,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,2ce2508a
340,James Milner,eng ENG,MFDF,Liverpool,37-101,1986,22,6,740,8.2,0,1,1,0,0,0,1,0,0.4,0.4,0.8,1.2,17,55,64,0.00,0.12,0.12,0.00,0.12,0.05,0.10,0.15,0.05,0.15,Matches,2f90f6b8
341,Yerry Mina,co COL,DF,Everton,28-204,1994,3,3,234,2.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,1,7,1,0.38,0.00,0.38,0.38,0.38,0.09,0.00,0.09,0.09,0.09,Matches,6d5701f2
342,Tyrone Mings,eng ENG,DF,Aston Villa,30-033,1993,27,27,2430,27.0,0,2,2,0,0,0,4,0,0.5,0.5,1.4,1.9,13,78,6,0.00,0.07,0.07,0.00,0.07,0.02,0.05,0.07,0.02,0.07,Matches,8397a50c
343,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-226,1999,28,26,2171,24.1,0,2,2,0,0,0,4,1,0.5,0.5,1.0,1.5,19,76,66,0.00,0.08,0.08,0.00,0.08,0.02,0.04,0.06,0.02,0.06,Matches,5cbd1eb0
344,Kaoru Mitoma,jp JPN,FWMF,Brighton,25-330,1997,23,16,1539,17.1,7,4,11,7,0,0,0,0,4.2,4.2,4.5,8.7,91,67,170,0.41,0.23,0.64,0.41,0.64,0.24,0.26,0.51,0.24,0.51,Matches,74618572
345,Aleksandar Mitrović,rs SRB,FW,Fulham,28-211,1994,21,21,1813,20.1,11,1,12,8,3,6,6,0,12.3,7.6,2.1,9.8,19,41,91,0.55,0.05,0.60,0.40,0.45,0.61,0.11,0.72,0.38,0.49,Matches,3925dbd6
346,Kieffer Moore,wls WAL,FW,Bournemouth,30-250,1992,21,12,1120,12.4,4,0,4,4,0,0,0,0,3.2,3.2,0.3,3.5,10,20,44,0.32,0.00,0.32,0.32,0.32,0.26,0.02,0.28,0.26,0.28,Matches,01ce9e70
347,Andrew Moran,ie IRL,FW,Brighton,19-182,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c4720845
348,Álex Moreno,es ESP,DF,Aston Villa,29-311,1993,12,8,838,9.3,0,2,2,0,0,0,3,0,0.5,0.5,1.8,2.3,36,19,79,0.00,0.21,0.21,0.00,0.21,0.05,0.19,0.24,0.05,0.24,Matches,16e9d0ea
349,Mason Mount,eng ENG,MFFW,Chelsea,24-095,1999,23,20,1631,18.1,3,2,5,3,0,0,4,0,2.0,2.0,3.0,5.0,47,97,113,0.17,0.11,0.28,0.17,0.28,0.11,0.17,0.27,0.11,0.27,Matches,9674002f
350,Lucas Moura,br BRA,MFDF,Tottenham,30-245,1992,12,0,126,1.4,0,0,0,0,0,0,0,1,0.1,0.1,0.3,0.3,3,9,11,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24,Matches,2b622f01
351,João Moutinho,pt POR,MF,Wolves,36-219,1986,28,20,1728,19.2,0,2,2,0,0,0,3,0,1.3,1.3,2.5,3.8,19,129,29,0.00,0.10,0.10,0.00,0.10,0.07,0.13,0.20,0.07,0.20,Matches,f5a00fa4
352,Divin Mubama,eng ENG,FW,West Ham,18-172,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,92868cb5
353,Mykhailo Mudryk,ua UKR,FWMF,Chelsea,22-100,2001,9,4,355,3.9,0,1,1,0,0,0,0,0,1.0,1.0,0.2,1.2,7,10,20,0.00,0.25,0.25,0.00,0.25,0.26,0.04,0.30,0.26,0.30,Matches,049a888d
354,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-050,1995,29,10,940,10.4,1,2,3,1,0,0,0,0,1.5,1.5,2.5,4.0,46,48,103,0.10,0.19,0.29,0.10,0.29,0.14,0.24,0.38,0.14,0.38,Matches,de112b84
355,Enock Mwepu,zm ZAM,FWMF,Brighton,25-104,1998,6,2,213,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,5,6,17,0.00,0.42,0.42,0.00,0.42,0.09,0.20,0.29,0.09,0.29,Matches,1d5cab82
356,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-321,1999,29,25,2205,24.5,0,0,0,0,0,0,3,0,0.5,0.5,1.2,1.7,30,90,61,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,30d4a2e5
357,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-121,1986,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ecada4fc
358,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-120,1996,21,15,1330,14.8,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.2,9,46,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches,6b47c5db
359,Reiss Nelson,eng ENG,FW,Arsenal,23-126,1999,4,0,106,1.2,3,2,5,3,0,0,0,0,0.7,0.7,0.5,1.3,11,2,20,2.55,1.70,4.25,2.55,4.25,0.62,0.46,1.07,0.62,1.07,Matches,c5bdb6e3
360,Neto,br BRA,GK,Bournemouth,33-270,1989,20,20,1755,19.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a9dc785c
361,Pedro Neto,pt POR,FWMF,Wolves,23-037,2000,12,10,744,8.3,0,0,0,0,0,0,1,0,1.0,1.0,1.4,2.4,32,20,96,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.29,0.12,0.29,Matches,7ba2eaa9
362,Rúben Neves,pt POR,MF,Wolves,26-033,1997,28,28,2482,27.6,5,0,5,3,2,2,10,0,4.1,2.5,1.1,3.6,23,189,15,0.18,0.00,0.18,0.11,0.11,0.15,0.04,0.19,0.09,0.13,Matches,44bfb6c5
363,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-038,1996,6,6,520,5.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,7,1,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches,00242715
364,Rasmus Nissen,dk DEN,DF,Leeds United,25-278,1997,19,14,1330,14.8,2,1,3,2,0,0,4,0,0.7,0.7,1.0,1.7,13,55,63,0.14,0.07,0.20,0.14,0.20,0.05,0.07,0.12,0.05,0.12,Matches,39769cff
365,Eddie Nketiah,eng ENG,FW,Arsenal,23-320,1999,23,9,1001,11.1,4,1,5,4,0,0,2,0,7.4,7.4,1.1,8.6,31,15,72,0.36,0.09,0.45,0.36,0.45,0.67,0.10,0.77,0.67,0.77,Matches,a53649b7
366,Matheus Nunes,pt POR,MF,Wolves,24-231,1998,26,23,1874,20.8,1,1,2,1,0,0,1,1,2.1,2.1,1.9,4.0,46,64,96,0.05,0.05,0.10,0.05,0.10,0.10,0.09,0.19,0.10,0.19,Matches,e6af02e0
367,Darwin Núñez,uy URU,FW,Liverpool,23-295,1999,23,17,1477,16.4,8,3,11,8,0,0,1,1,10.8,10.8,5.3,16.0,54,27,157,0.49,0.18,0.67,0.49,0.67,0.66,0.32,0.98,0.66,0.98,Matches,4d77b365
368,Ethan Nwaneri,eng ENG,FW,Arsenal,16-025,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f94982c
369,Christian Nørgaard,dk DEN,MF,Brentford,29-036,1994,20,19,1628,18.1,1,3,4,1,0,0,5,0,1.4,1.4,3.1,4.5,4,67,8,0.06,0.17,0.22,0.06,0.22,0.08,0.17,0.25,0.08,0.25,Matches,df0a4c90
370,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-183,1998,13,6,584,6.5,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,13,21,3,0.15,0.00,0.15,0.15,0.15,0.05,0.03,0.08,0.05,0.08,Matches,089667a5
371,Angelo Ogbonna,it ITA,DF,West Ham,34-327,1988,11,9,805,8.9,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0,4,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,74b2cd7e
372,Michael Olise,fr FRA,FWMF,Crystal Palace,21-124,2001,29,23,2030,22.6,2,8,10,2,0,0,2,0,2.4,2.4,6.4,8.8,76,96,169,0.09,0.35,0.44,0.09,0.44,0.10,0.28,0.39,0.10,0.39,Matches,c4486bac
373,Robin Olsen,se SWE,GK,Aston Villa,33-097,1990,3,2,236,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e7ee38c3
374,Amadou Onana,be BEL,MF,Everton,21-242,2001,28,26,2206,24.5,1,1,2,1,0,0,7,0,2.9,2.9,2.1,5.0,24,61,42,0.04,0.04,0.08,0.04,0.08,0.12,0.09,0.21,0.12,0.21,Matches,828657ff
375,Josh Onomah,eng ENG,MF,Fulham,25-353,1997,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6612cd8c
376,Paul Onuachu,ng NGA,FW,Southampton,28-322,1994,7,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0,5,19,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.13,0.08,0.13,Matches,c06d1086
377,Frank Onyeka,ng NGA,MF,Brentford,25-104,1998,14,4,505,5.6,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.9,3,20,11,0.00,0.18,0.18,0.00,0.18,0.06,0.10,0.16,0.06,0.16,Matches,2944f86f
378,Mislav Oršić,hr CRO,MF,Southampton,30-107,1992,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ee950928
379,Dango Ouattara,bf BFA,MFFW,Bournemouth,21-063,2002,11,11,831,9.2,0,3,3,0,0,0,1,0,2.5,2.5,1.7,4.2,25,15,59,0.00,0.32,0.32,0.00,0.32,0.27,0.19,0.45,0.27,0.45,Matches,2f9e4435
380,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-243,1993,9,4,335,3.7,1,0,1,1,0,0,0,0,1.3,1.3,0.9,2.2,11,14,28,0.27,0.00,0.27,0.27,0.27,0.35,0.23,0.58,0.35,0.58,Matches,38c7feef
381,David Ozoh,,FW,Crystal Palace,17-319,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d00d45ab
382,João Palhinha,pt POR,MF,Fulham,27-280,1995,26,26,2312,25.7,3,0,3,3,0,0,10,0,2.3,2.3,0.3,2.6,5,80,17,0.12,0.00,0.12,0.12,0.12,0.09,0.01,0.10,0.09,0.10,Matches,a78ff07f
383,Cole Palmer,eng ENG,FWMF,Manchester City,20-344,2002,10,0,121,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,9,7,19,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.19,0.05,0.19,Matches,dc7f8a28
384,Emerson Palmieri,it ITA,DF,West Ham,28-255,1994,16,12,984,10.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,32,35,42,0.09,0.00,0.09,0.09,0.09,0.06,0.06,0.12,0.06,0.12,Matches,e0bc6fdc
385,Lucas Paquetá,br BRA,MF,West Ham,25-231,1997,20,19,1492,16.6,2,2,4,1,1,1,4,0,3.6,2.8,1.3,4.1,11,101,46,0.12,0.12,0.24,0.06,0.18,0.22,0.08,0.29,0.17,0.25,Matches,9b6f7fd5
386,Thomas Partey,gh GHA,MF,Arsenal,29-306,1993,25,23,2010,22.3,3,0,3,3,0,0,2,0,2.0,2.0,1.3,3.3,22,179,22,0.13,0.00,0.13,0.13,0.13,0.09,0.06,0.15,0.09,0.15,Matches,529f49ab
387,Nathan Patterson,sct SCO,DFMF,Everton,21-181,2001,14,11,992,11.0,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,13,20,42,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches,230f0471
388,Ben Pearson,eng ENG,MF,Bournemouth,28-101,1995,7,3,286,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,a6b461e7
389,Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-116,2001,3,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ac7e7b1c
390,Andreas Pereira,br BRA,MF,Fulham,27-104,1996,29,29,2405,26.7,3,6,9,2,1,1,8,0,5.6,4.8,5.1,9.9,50,112,125,0.11,0.22,0.34,0.07,0.30,0.21,0.19,0.40,0.18,0.37,Matches,6639e500
391,Ricardo Pereira,pt POR,DFMF,Leicester City,29-191,1993,8,4,387,4.3,1,1,2,1,0,0,1,0,0.1,0.1,0.5,0.6,5,25,14,0.23,0.23,0.47,0.23,0.47,0.03,0.11,0.14,0.03,0.14,Matches,75a72a99
392,Ayoze Pérez,es ESP,MFFW,Leicester City,29-260,1993,8,3,382,4.2,0,1,1,0,0,0,0,0,1.1,1.1,1.5,2.6,17,20,43,0.00,0.24,0.24,0.00,0.24,0.27,0.35,0.62,0.27,0.62,Matches,819aa8e7
393,Ivan Perišić,hr CRO,DFMF,Tottenham,34-072,1989,28,19,1756,19.5,1,6,7,1,0,0,5,0,2.3,2.3,4.6,6.8,71,54,156,0.05,0.31,0.36,0.05,0.36,0.12,0.23,0.35,0.12,0.35,Matches,6fe90922
394,Romain Perraud,fr FRA,DF,Southampton,25-205,1997,27,20,1710,19.0,2,2,4,2,0,0,3,0,1.3,1.3,1.8,3.1,29,59,121,0.11,0.11,0.21,0.11,0.21,0.07,0.10,0.16,0.07,0.16,Matches,6dfd8f05
395,Máximo Perrone,ar ARG,MF,Manchester City,20-098,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,53552942
396,Kalvin Phillips,eng ENG,MF,Manchester City,27-134,1995,6,0,71,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,0,4,0,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.19,0.13,0.19,Matches,4f565d77
397,Nathaniel Phillips,eng ENG,DF,Liverpool,26-025,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,515ebe8d
398,Jordan Pickford,eng ENG,GK,Everton,29-039,1994,29,29,2610,29.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,4806ec67
399,Ethan Pinnock,jm JAM,DF,Brentford,29-321,1993,22,22,1980,22.0,2,0,2,2,0,0,0,0,2.3,2.3,0.9,3.2,1,37,12,0.09,0.00,0.09,0.09,0.09,0.11,0.04,0.15,0.11,0.15,Matches,e541326e
400,Daniel Podence,pt POR,FWMF,Wolves,27-176,1995,28,19,1616,18.0,6,0,6,6,0,0,5,0,3.5,3.5,2.3,5.8,40,88,138,0.33,0.00,0.33,0.33,0.33,0.20,0.13,0.32,0.20,0.32,Matches,7fcc71d8
401,Nick Pope,eng ENG,GK,Newcastle Utd,30-361,1992,29,29,2541,28.2,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4b40d9ca
402,Pedro Porro,es ESP,DF,Tottenham,23-214,1999,7,6,511,5.7,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.0,14,21,49,0.18,0.18,0.35,0.18,0.35,0.19,0.17,0.36,0.19,0.36,Matches,27d0a506
403,Dennis Praet,be BEL,MFFW,Leicester City,28-336,1994,17,5,549,6.1,1,0,1,1,0,0,1,0,0.6,0.6,0.3,0.9,13,14,36,0.16,0.00,0.16,0.16,0.16,0.10,0.06,0.15,0.10,0.15,Matches,86695068
404,Isaac Price,nir NIR,MF,Everton,19-201,2003,1,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26,Matches,b9403c99
405,Christian Pulisic,us USA,FWDF,Chelsea,24-209,1998,20,7,730,8.1,1,1,2,1,0,0,1,0,1.3,1.3,0.7,2.0,32,21,70,0.12,0.12,0.25,0.12,0.25,0.16,0.08,0.24,0.16,0.24,Matches,1bf33a9a
406,Aaron Ramsdale,eng ENG,GK,Arsenal,24-336,1998,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,466fb2c5
407,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-322,2001,27,23,1936,21.5,3,4,7,3,0,0,4,0,2.1,2.1,2.6,4.7,66,81,81,0.14,0.19,0.33,0.14,0.33,0.10,0.12,0.22,0.10,0.22,Matches,1544f145
408,Marcus Rashford,eng ENG,FW,Manchester Utd,25-166,1997,29,27,2386,26.5,15,4,19,15,0,0,2,0,11.8,11.8,2.8,14.6,66,62,194,0.57,0.15,0.72,0.57,0.72,0.45,0.11,0.55,0.45,0.55,Matches,a1d5bd30
409,David Raya,es ESP,GK,Brentford,27-212,1995,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,0,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,98ea5115
410,Tim Ream,us USA,DF,Fulham,35-192,1987,29,29,2607,29.0,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,25,125,1,0.03,0.00,0.03,0.03,0.03,0.01,0.00,0.01,0.01,0.01,Matches,28b40c9c
411,Nathan Redmond,eng ENG,DF,Southampton,29-040,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ab651565
412,Harrison Reed,eng ENG,MF,Fulham,28-078,1995,28,28,2243,24.9,2,2,4,2,0,0,5,0,1.3,1.3,2.4,3.7,25,82,76,0.08,0.08,0.16,0.08,0.16,0.05,0.10,0.15,0.05,0.15,Matches,803ae100
413,Bobby Reid,jm JAM,FWDF,Fulham,30-072,1993,28,27,2171,24.1,4,1,5,4,0,0,7,0,3.8,3.8,1.6,5.4,44,52,161,0.17,0.04,0.21,0.17,0.21,0.16,0.07,0.22,0.16,0.22,Matches,0f7533cd
414,Declan Rice,eng ENG,MF,West Ham,24-091,1999,29,29,2610,29.0,2,1,3,2,0,1,5,0,1.9,1.1,3.0,4.1,73,187,30,0.07,0.03,0.10,0.07,0.10,0.07,0.10,0.17,0.04,0.14,Matches,1c7012b8
415,Chris Richards,us USA,DF,Crystal Palace,23-018,2000,8,3,357,4.0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,2,9,1,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.25,0.18,0.25,Matches,0a3d6d2b
416,Richarlison,br BRA,MFFW,Tottenham,25-340,1997,19,9,751,8.3,0,3,3,0,0,0,2,0,2.2,2.2,1.8,4.0,23,24,60,0.00,0.36,0.36,0.00,0.36,0.27,0.22,0.48,0.27,0.48,Matches,fa031b34
417,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-218,1996,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7a1f2c08
418,Matt Ritchie,sct SCO,FWMF,Newcastle Utd,33-217,1989,6,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Matches,71ef519e
419,Andrew Robertson,sct SCO,DF,Liverpool,29-035,1994,26,22,1956,21.7,0,6,6,0,0,0,3,0,1.3,1.3,4.9,6.2,55,111,164,0.00,0.28,0.28,0.00,0.28,0.06,0.22,0.29,0.06,0.29,Matches,2e4f5f03
420,Antonee Robinson,us USA,DF,Fulham,25-250,1997,26,26,2278,25.3,0,1,1,0,0,0,7,0,0.1,0.1,1.1,1.2,82,100,121,0.00,0.04,0.04,0.00,0.04,0.00,0.05,0.05,0.00,0.05,Matches,289601e6
