,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
74,Tom Cairney,sct SCO,MF,Fulham,32-085,1991,24,1,538,6.0,0,0,0,0,0,0,2,0,0.7,0.7,1.2,1.9,24,61,33,0.00,0.00,0.00,0.00,0.00,0.12,0.21,0.32,0.12,0.32,Matches,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-210,1996,11,8,806,9.0,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,3,28,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-030,1997,11,9,731,8.1,1,0,1,1,0,0,1,0,2.9,2.9,0.3,3.3,11,8,30,0.12,0.00,0.12,0.12,0.12,0.36,0.04,0.40,0.36,0.40,Matches,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-106,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,10,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-323,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,72,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12,Matches,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-108,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,1,0,2,0.00,0.00,0.00,0.00,0.00,0.32,1.95,2.27,0.32,2.27,Matches,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-072,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,7,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,Matches,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-031,1993,2,2,179,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,10,0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-228,2002,12,4,340,3.8,2,0,2,2,0,0,0,0,1.1,1.1,0.1,1.2,7,11,26,0.53,0.00,0.53,0.53,0.53,0.29,0.03,0.32,0.29,0.32,Matches,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-051,1992,19,15,1338,14.9,2,3,5,2,0,0,5,2,2.1,2.1,2.0,4.1,8,89,24,0.13,0.20,0.34,0.13,0.34,0.14,0.14,0.27,0.14,0.27,Matches,4d224fe8
